input,output
Translate English to Bangla: get tom.,টমকে ডাকুন।
Translate Bangla to Sylheti: আরেকটা,আরকটা
Translate Bangla to English তিনি একজন অভিজ্ঞ শিক্ষক।,he is an experienced teacher.
Translate English to Bangla: let in some fresh air.,সজীব বাতাস আসতে দাও।
Translate English to Bangla: i bought this medicine for my father.,এই অষুধটা আমি আমার বাবার জন্য কিনেছি।
Translate Bangla to Sylheti: হঠাৎ রাগ করা,উম্মরি
Translate English to Bangla: i'll wait outside.,আমি বাইরে অপেক্ষা করব।
Translate Bangla to English তোমাকে এবং আমাকে যে সুযোগ দেওয়া হয়েছিল টমকে সে সুযোগ দেওয়া হয়নি।,tom wasn't given the chance that you and i were given.
Translate Bangla to Sylheti: বিষাক্ত চূর্ণ,দারমুজেরগুড়া
Translate Sylheti to Bangla: অইদদে,আগে
Translate Sylheti to Bangla: তখরচাত,বাজে খরচ
Translate Sylheti to Bangla: আকলি বিকলি বায়,চেষ্টা করে
Translate English to Bangla: you don't have any proof.,তোমার কাছে কোনো প্রমাণ নেই।
Translate Bangla to English আপনি সত্যিই কোনো কাজের নয়।,you really are hopeless.
Translate English to Bangla: where can i buy stamps?,আমি স্ট্যাম্প কোথা থেকে কিনতে পারব?
Translate Sylheti to Bangla: নোয়াখালির অদ্ধেক বেচি দিলে আফনেরে লন্ডনের ভিসা দিবনি,নোয়াখালির অর্ধেক বেচে দিলেই আপনাকে লন্ডনের ভিসা দেওয়া হবে নাকি
Translate Sylheti to Bangla: আরমনি,হারমোনিয়াম
Translate Bangla to English আমি কি এখন খাওয়া শুরু করতে পারি?,may i start eating now?
"Translate Bangla to Sylheti: শোনো, বাবা ডাকছে","হুন,আব্বু ডাকছে"
Translate Bangla to English ওখানেই থাকো।,stay there.
Translate Bangla to Sylheti: খাসী,খশি
Translate Bangla to English এটা ভালো ছিল।,it was good.
Translate Sylheti to Bangla: আগরম বাগরম,অসম্বন্ধ বাক্য
Translate English to Bangla: i'm not as conservative as i used to be.,আমি আগের মতো রক্ষণশীল নই।
Translate English to Bangla: you really are hopeless.,আপনি সত্যিই কোনো কাজের নয়।
Translate English to Bangla: tom kept yelling.,টম চেঁচাতেই থাকলো।
Translate English to Bangla: he is eating.,উনি খাচ্ছেন।
Translate Bangla to English এটা ব্যবহার করুন।,use this.
Translate English to Bangla: you look very tired.,আপনাদের দেখে খুব ক্লান্ত লাগছে।
Translate Sylheti to Bangla: আমরার,আমাদের
Translate English to Bangla: could you please repeat it once again?,আপনি কি অনুগ্রহ করে আর একবার বলতে পারবেন?
Translate English to Bangla: the budget of the film was very limited.,ছবির বাজেট ছিল খুবই সীমিত।
Translate Sylheti to Bangla: ছিলোটিরা লেখাফড়া হেখায় না,সিলেটিরা লেখাপড়া শিখায় না
Translate Bangla to Sylheti: বারান্দার বেড়া,আউটা
Translate Sylheti to Bangla: তে-কেনে,তবে কেন
Translate English to Bangla: i ran away.,আমি পালিয়ে গেছিলাম।
Translate Sylheti to Bangla: এখ সাফতা দরি বাজার খরস গরো কুন্তা নাই,এক সপ্তাহ ধরে বাজার করেও ঘরে কিছু নাই
Translate Sylheti to Bangla: আওড়োর,আড়ালের
"Translate Bangla to English আপনার কাজ করার কথা, তাই না?","you're supposed to be working, aren't you?"
Translate Sylheti to Bangla: উনদালি,সবসময় বাড়ির ভেতর থাকে যে
Translate Bangla to English তোমরা কি আমার কথা বুঝতে পারছ?,do you understand me?
Translate Bangla to English টম বলল যে মেরি তাকে তাড়াতাড়ি চলে যাওয়ার অনুমতি দিয়েছিল।,tom said that mary had given him permission to leave early.
Translate English to Bangla: i'll come back for you.,আমি তোমার জন্য ফিরে আসবো।
Translate Bangla to Sylheti: নারিকেল,নাইরল
Translate English to Bangla: tom's strange.,টম অদ্ভুত।
Translate Sylheti to Bangla: মনোর জুগান,মনের তাগিদ
Translate Sylheti to Bangla: ইমলা,এইবার
Translate English to Bangla: i think that i can do that alone.,আমার মনে হয় আমি একাই ওটা করতে পারবো।
Translate Bangla to English কে পড়লো?,who fell?
Translate Bangla to English আমি ওইরকম হতে চাই না।,i don't want to be like that.
Translate Sylheti to Bangla: কমল,কম্বল
Translate Sylheti to Bangla: উতান,উপদ্রুপ
Translate English to Bangla: how old is this church?,এই চার্চটার বয়স কত?
Translate Bangla to Sylheti: ঘষে,ঘসাইয়া
Translate Bangla to Sylheti: সৌজন্য,খাতির
Translate Bangla to English তোমার কি সাইকেল নেই?,don't you have a bicycle?
Translate Bangla to Sylheti: বমি করা,উগলানো
Translate Bangla to English আমি আসছি।,i'm coming.
Translate Bangla to Sylheti: সিলেটি মেয়েদের মন সুন্দর,সিলোটি ফুরিনতর মন সুন্দর
